Código INE:,Localidad:,Fecha:,Festividad:
44001000000,Ababuj,25 de julio,
44001000000,Ababuj,26 de julio,
44002000000,Abejuela,20 de julio,Santa Margarita
44002000000,Abejuela,28 de agosto,San Agustín
44004000000,Aguaviva,18 de agosto,
44004000000,Aguaviva,21 de agosto,
44005000000,Aguilar del Alfambra,27 de enero,
44005000000,Aguilar del Alfambra,30 de junio,
44006000000,Alacón,16 de agosto,
44006000000,Alacón,29 de septiembre,
44007000000,Alba,28 de abril,
44007000000,Alba,15 de mayo,
44008000000,Albalate del Arzobispo,25 de septiembre,
44008000000,Albalate del Arzobispo,26 de septiembre,
44009000000,Albarracín,8 de septiembre,Santa María de Albarracín
44009000000,Albarracín,14 de septiembre,Santo Cristo de la Vega
44010000000,Albentosa,2 de agosto,
44010000000,Albentosa,3 de agosto,
44012000000,Alcalá de la Selva,6 de junio,
44012000000,Alcalá de la Selva,8 de septiem,
44013000000,Alcañiz,9 de septiembre,
44013000000,Alcañiz,11 de septiembre,
44014000000,Alcorisa,20 de enero,
44014000000,Alcorisa,15 de septiembre,
44016000000,Alfambra,3 de julio,
44016000000,Alfambra,16 de agosto,
44017000000,Aliaga,26 de junio,
44017000000,Aliaga,8 de septiembre,
44025000000,Andorra,17 de abril,
44025000000,Andorra,9 de septiem,
44026000000,Arcos de las Salinas,13 de octubre,
44026000000,Arcos de las Salinas,7 de diciembre,
44027000000,Arens de Lledó,17 de enero,San Antón
44027000000,Arens de Lledó,11 de octubre,
44031000000,Azaila,25 de julio,
44031000000,Azaila,26 de julio,
44032000000,Bádenas,28 de agosto,San Agustín
44032000000,Bádenas,11 de sept,San Nicolás
44033000000,Báguena,3 de febrero,San Blas
44033000000,Báguena,31 de agosto,San Ramón
44034000000,Bañón,30 de enero,
44034000000,Bañón,28 de abril,
44035000000,Barrachina,20 de enero,San Fabián y San Sebastián
44035000000,Barrachina,26 de julio,Santa Ana
44037000000,Beceite,17 de enero,San Antón
44037000000,Beceite,17 de abril,lunes de Pascua
44038000000,Belmonte de San José,17 de abril,lunes de Pascua
44038000000,Belmonte de San José,7 de agosto,
44039000000,Bello,15 de mayo,San Isidro
44039000000,Bello,8 de septiembre,
44041000000,Bezas,18 de abril,
44041000000,Bezas,10 de julio,
44042000000,Blancas,15 de mayo,San Isidro
44042000000,Blancas,18 de agosto,
44044000000,Bordón,8 de mayo,
44044000000,Bordón,5 de junio,
44045000000,Bronchales,10 de julio,
44045000000,Bronchales,13 de octubre,
44046000000,Bueña,23 de enero,
44046000000,Bueña,14 de agosto,
44047000000,Burbáguena,,
44048000000,Cabra de Mora,18 de abril,
44048000000,Cabra de Mora,29 de septiembre,
44049000000,Calaceite,5 de junio,
44049000000,Calaceite,16 de agosto,
44050000000,Calamocha,16 de agosto,
44050000000,Calamocha,17 de agosto,
44051000000,Calanda,29 de marzo,
44051000000,Calanda,13 de octubre,
44052000000,Calomarde,18 de agosto,
44052000000,Calomarde,21 de agosto,
44053000000,Camañas,15 de mayo,San Isidro
44053000000,Camañas,4 de diciembre,Santa Bárbara
44054000000,Camarena de la Sierra,14 de agosto,
44054000000,Camarena de la Sierra,25 de septie,
44059000000,Cantavieja,28 de agosto,
44059000000,Cantavieja,29 de agosto,
44061000000,Cañada de Verich (La),17 de abril,
44061000000,Cañada de Verich (La),26 de julio,Santa Ana
44062000000,Cañada Velilla,6 de febrero,
44062000000,Cañada Velilla,14 de agosto,
44063000000,Cañizar del Olivar,27 de enero,
44063000000,Cañizar del Olivar,25 de agosto,
44064000000,Cascante del Río,22 de mayo,
44064000000,Cascante del Río,7 de agosto,
44068000000,Castelserás,20 de enero,
44068000000,Castelserás,5 de junio,
44070000000,Castellar (El),18 de abril,
44070000000,Castellar (El),29 de septiembre,
44071000000,Castellote,11 de agosto,
44071000000,Castellote,14 de agosto,
44074000000,Cedrillas,22 de mayo,
44074000000,Cedrillas,13 de octubre,
44077000000,Cerollera (La),17 de abril,
44077000000,Cerollera (La),21 de agosto,
44080000000,Codoñera (La),2 de octubre,San Cosme y San Damián
44080000000,Codoñera (La),11 de diciembre,
44082000000,Corbalán,13 de junio,San Antonio
