Código INE:,Localidad:,Fecha:,Festividad:
50003000000,Abanto,,
50003000000,Abanto,,
,Acered,,
,Acered,,
,Agón,29/04/2017,
,Agón,02/08/2017,
50004000000,Aguarón,17/04/2017,Lunes de Pascua
50004000000,Aguarón,10/07/2017,San Cristóbal
50005000000,Aguilón,17/04/2017,Lunes de Pascua
50005000000,Aguilón,15/05/2017,San Isidro Labrador
50006000000,Ainzón,20/01/2017,San Sebastián
50006000000,Ainzón,15/05/2017,San Isidro
50007000000,Aladrén,03/02/2017,San Blas
50007000000,Aladrén,05/08/2017,Virgen de las Nieves
50008000000,Alagón,13/06/2017,San Antonio de Padua
50008000000,Alagón,08/09/2017,Virgen del Castillo
,Alarba,,
,Alarba,,
50010000000,Alberite de San Juan,06/02/2017,Santísimo Robado
50010000000,Alberite de San Juan,27/09/2017,Santos Médicos
50011000000,Albeta,25/07/2017,Santiago Apóstol
50011000000,Albeta,02/10/2017,Virgen del Rosario
,Alborge,,
,Alborge,,
50013000000,Alcalá de Ebro,09/05/2017,San Gregorio
50013000000,Alcalá de Ebro,04/12/2017,Santa Barbara
50014000000,Alcalá de Moncayo,21/01/2017,
50014000000,Alcalá de Moncayo,13/05/2017,
,Alconchel de Ariza,,
,Alconchel de Ariza,,
,Aldehuela de Liestos,,
,Aldehuela de Liestos,,
50017000000,Alfajarín,08/09/2017,
50017000000,Alfajarín,29/09/2017,
50018000000,Alfamén,15/05/2017,
50018000000,Alfamén,16/08/2017,
,Alforque,,
,Alforque,,
50020000000,Alhama de Aragón,22/05/2017,Santa Quiteria
50020000000,Alhama de Aragón,16/08/2017,San Roque
50021000000,Almochuel,,
,Almochuel,,
50022000000,Almolda (La),22/05/2017,Santa Quiteria
50022000000,Almolda (La),23/05/2017,San Urbez
50023000000,Almonacid de la Cuba,15/05/2017,
50023000000,Almonacid de la Cuba,16/08/2017,
50024000000,Almonacid de la Sierra,08/09/2017,
50024000000,Almonacid de la Sierra,11/09/2017,
50025000000,Almunia de Doña Godina (La),20/01/2017,
50025000000,Almunia de Doña Godina (La),25/09/2017,
50026000000,Alpartir,19/06/2017,
50026000000,Alpartir,20/06/2017,
50027000000,Ambel,20/01/2017,San Sebastián
50027000000,Ambel,29/08/2017,Santas Reliquias
50028000000,Anento,,
50028000000,Anento,,
50029000000,Aniñón,18/09/2017,Virgen del Castillo
50029000000,Aniñón,23/11/2017,San Clemente
50030000000,Añón de Moncayo,,
50030000000,Añón de Moncayo,,
,Aranda de Moncayo,,
,Aranda de Moncayo,,
50032000000,Arándiga,08/05/2017,Romería del Bolage
50032000000,Arándiga,26/09/2017,San Cosme y San Damián
50033000000,Ardisa,23/01/2017,
50033000000,Ardisa,26/07/2017,
50034000000,Ariza,14/09/2017,
50034000000,Ariza,15/09/2017,
50035000000,Artieda,10/08/2017,San Lorenzo
50035000000,Artieda,11/11/2017,San Martín
50036000000,Asín,09/05/2017,San Gregorio
50036000000,Asín,18/11/2017,San Román
,Atea,,
,Atea,,
50038000000,Ateca,03/02/2017,
50038000000,Ateca,08/09/2017,
50039000000,Azuara,15/05/2017,San Isidro
50039000000,Azuara,08/09/2017,Ntra. Sra de la Piedad
50040000000,Badules,03/02/2017,San Blas
50040000000,Badules,09/02/2017,Santa Apolonia
50041000000,Bagües,,
50041000000,Bagües,,
,Balconchán,,
,Balconchán,,
50043000000,Bárboles,29/09/2017,
50043000000,Bárboles,02/10/2017,
50044000000,Bardallur,06/02/2017,Santa Águeda
50044000000,Bardallur,16/08/2017,San Roque
50045000000,Belchite,18/04/2017,Ntra. Sra. del Pueyo
50045000000,Belchite,14/09/2017,Exaltación de la Santa Cruz
50046000000,Belmonte de Gracián,16/08/2017,San Roque
50046000000,Belmonte de Gracián,29/09/2017,San Miguel
50047000000,Berdejo,08/09/2017,Virgen del Río
50047000000,Berdejo,09/11/2017,San Millán de la Cogolla
50048000000,Berrueco,21/01/2017,
50048000000,Berrueco,05/08/2017,
,Biel,,
,Biel,,
50050000000,Bijuesca,13/06/2017,San Antonio de Padua
50050000000,Bijuesca,16/08/2017,San Roque
50051000000,Biota,08/05/2017,
50051000000,Biota,29/09/2017,
