CPRO,CMUN,DC,NOMBRE
22,001,5,Abiego
22,002,0,Abizanda
22,003,6,Adahuesca
22,004,1,Agüero
22,907,4,Aínsa-Sobrarbe
22,006,7,Aisa
22,007,3,Albalate de Cinca
22,008,9,Albalatillo
22,009,2,Albelda
22,011,3,Albero Alto
22,012,8,Albero Bajo
22,013,4,Alberuela de Tubo
22,014,9,Alcalá de Gurrea
22,015,2,Alcalá del Obispo
22,016,5,Alcampell
22,017,1,Alcolea de Cinca
22,018,7,Alcubierre
22,019,0,Alerre
22,020,4,Alfántega
22,021,1,Almudévar
22,022,6,Almunia de San Juan
22,023,2,Almuniente
22,024,7,Alquézar
22,025,0,Altorricón
22,027,9,Angüés
22,028,5,Ansó
22,029,8,Antillón
22,032,4,Aragüés del Puerto
22,035,8,Arén
22,036,1,Argavieso
22,037,7,Arguis
22,039,6,Ayerbe
22,040,0,Azanuy-Alins
22,041,7,Azara
22,042,2,Azlor
22,043,8,Baélls
22,044,3,Bailo
22,045,6,Baldellou
22,046,9,Ballobar
22,047,5,Banastás
22,048,1,Barbastro
22,049,4,Barbués
22,050,7,Barbuñales
22,051,4,Bárcabo
22,052,9,Belver de Cinca
22,053,5,Benabarre
22,054,0,Benasque
22,246,7,Beranuy
22,055,3,Berbegal
22,057,2,Bielsa
22,058,8,Bierge
22,059,1,Biescas
22,060,5,Binaced
22,061,2,Binéfar
22,062,7,Bisaurri
22,063,3,Biscarrués
22,064,8,Blecua y Torres
22,066,4,Boltaña
22,067,0,Bonansa
22,068,6,Borau
22,069,9,Broto
22,072,5,Caldearenas
22,074,6,Campo
22,075,9,Camporrélls
22,076,2,Canal de Berdún
22,077,8,Candasnos
22,078,4,Canfranc
22,079,7,Capdesaso
22,080,1,Capella
22,081,8,Casbas de Huesca
22,083,9,Castejón de Monegros
22,084,4,Castejón de Sos
22,082,3,Castejón del Puente
22,085,7,Castelflorite
22,086,0,Castiello de Jaca
22,087,6,Castigaleu
22,088,2,Castillazuelo
22,089,5,Castillonroy
22,094,2,Chalamera
22,095,5,Chía
22,096,8,Chimillas
22,090,9,Colungo
22,099,3,Esplús
22,102,9,Estada
22,103,5,Estadilla
22,105,3,Estopiñán del Castillo
22,106,6,Fago
22,107,2,Fanlo
22,109,1,Fiscal
22,110,5,Fonz
22,111,2,Foradada del Toscar
22,112,7,Fraga
22,113,3,"Fueva, La"
22,114,8,Gistaín
22,115,1,"Grado, El"
22,116,4,Grañén
22,117,0,Graus
22,119,9,Gurrea de Gállego
22,122,5,Hoz de Jaca
22,908,0,Hoz y Costean
22,124,6,Huerto
22,125,9,Huesca
22,126,2,Ibieca
22,127,8,Igriés
22,128,4,Ilche
22,129,7,Isábena
22,130,1,Jaca
22,131,8,Jasa
22,133,9,Labuerda
22,135,7,Laluenga
22,136,0,Lalueza
22,137,6,Lanaja
22,139,5,Laperdiguera
22,141,6,Lascellas-Ponzano
22,142,1,Lascuarre
22,143,7,Laspaúles
22,144,2,Laspuña
22,149,3,Loarre
22,150,6,Loporzano
22,151,3,Loscorrales
22,905,5,Lupiñén-Ortilla
22,155,2,Monesma y Cajigar
22,156,5,Monflorite-Lascasas
22,157,1,Montanuy
22,158,7,Monzón
22,160,4,Naval
22,162,6,Novales
22,163,2,Nueno
22,164,7,Olvena
22,165,0,Ontiñena
22,167,9,Osso de Cinca
22,168,5,Palo
22,170,2,Panticosa
22,172,4,Peñalba
22,173,0,"Peñas de Riglos, Las"
22,174,5,Peralta de Alcofea
22,175,8,Peralta de Calasanz
22,176,1,Peraltilla
22,177,7,Perarrúa
22,178,3,Pertusa
22,181,7,Piracés
22,182,2,Plan
22,184,3,Poleñino
22,186,9,Pozán de Vero
22,187,5,"Puebla de Castro, La"
22,188,1,Puente de Montañana
22,902,1,Puente la Reina de Jaca
22,189,4,Puértolas
22,190,8,"Pueyo de Araguás, El"
22,193,6,Pueyo de Santa Cruz
22,195,4,Quicena
22,197,3,Robres
22,199,2,Sabiñánigo
22,200,6,Sahún
22,201,3,Salas Altas
22,202,8,Salas Bajas
22,203,4,Salillas
22,204,9,Sallent de Gállego
22,205,2,San Esteban de Litera
22,207,1,San Juan de Plan
22,903,7,San Miguel del Cinca
22,206,5,Sangarrén
22,208,7,Santa Cilia
22,209,0,Santa Cruz de la Serós
22,906,8,Santa María de Dulcis
22,212,6,Santaliestra y San Quílez
22,213,2,Sariñena
22,214,7,Secastilla
22,215,0,Seira
22,217,9,Sena
22,218,5,Senés de Alcubierre
22,220,2,Sesa
22,221,9,Sesué
22,222,4,Siétamo
22,223,0,Sopeira
22,904,2,"Sotonera, La"
22,225,8,Tamarite de Litera
22,226,1,Tardienta
22,227,7,Tella-Sin
22,228,3,Tierz
22,229,6,Tolva
22,230,0,Torla-Ordesa
22,232,2,Torralba de Aragón
22,233,8,Torre la Ribera
22,234,3,Torrente de Cinca
22,235,6,Torres de Alcanadre
22,236,9,Torres de Barbués
22,239,4,Tramaced
22,242,0,Valfarta
22,243,6,Valle de Bardají
22,901,6,Valle de Hecho
22,244,1,Valle de Lierp
22,245,4,Velilla de Cinca
22,909,3,Vencillón
22,247,3,Viacamp y Litera
22,248,9,Vicién
22,249,2,Villanova
22,250,5,Villanúa
22,251,2,Villanueva de Sigena
22,252,7,Yebra de Basa
22,253,3,Yésero
22,254,8,Zaidín
